"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"NCN54","OUT049",NA
"NCC42","OUT027",NA
"FDK08","OUT017",NA
"FDP59","OUT013",NA
"FDV22","OUT035",NA
"FDD33","OUT035",NA
"DRE60","OUT027",NA
"FDK52","OUT046",NA
"FDA02","OUT017",NA
"FDM56","OUT049",NA
"FDE57","OUT035",NA
"FDM32","OUT045",NA
"NCQ30","OUT027",NA
"FDQ27","OUT027",NA
"FDT60","OUT027",NA
"FDU43","OUT049",NA
"NCO55","OUT035",NA
"FDG02","OUT045",NA
"FDJ28","OUT013",NA
"FDP40","OUT045",NA
"FDJ38","OUT045",NA
"NCC54","OUT017",NA
"NCZ41","OUT046",NA
"FDK38","OUT019",NA
"FDU52","OUT013",NA
"FDC40","OUT046",NA
"NCR30","OUT017",NA
"NCN18","OUT017",NA
"FDB50","OUT035",NA
"FDG04","OUT013",NA
"FDR26","OUT035",NA
"NCT17","OUT018",NA
"FDX35","OUT027",NA
"FDS12","OUT046",NA
"NCZ29","OUT027",NA
"FDB38","OUT010",NA
"FDP12","OUT013",NA
"FDP22","OUT046",NA
"FDS26","OUT018",NA
"FDR52","OUT046",NA
"DRJ13","OUT046",NA
"FDU48","OUT027",NA
"FDE29","OUT035",NA
"NCT29","OUT049",NA
"DRK37","OUT018",NA
"FDK55","OUT046",NA
"FDR07","OUT046",NA
"FDO21","OUT027",NA
"FDK46","OUT049",NA
"FDB12","OUT045",NA
"FDT31","OUT027",NA
"FDJ33","OUT045",NA
"FDC26","OUT027",NA
"NCQ02","OUT045",NA
"FDP08","OUT010",NA
"FDB11","OUT027",NA
"FDV55","OUT013",NA
"FDW20","OUT049",NA
"NCJ18","OUT019",NA
"FDC41","OUT018",NA
"FDE14","OUT027",NA
"FDG35","OUT013",NA
"FDF45","OUT035",NA
"FDS19","OUT027",NA
"FDS58","OUT019",NA
"FDA26","OUT017",NA
"FDM32","OUT049",NA
"FDL45","OUT046",NA
"FDZ55","OUT049",NA
"FDY37","OUT049",NA
"FDO46","OUT046",NA
"FDQ60","OUT046",NA
"FDA19","OUT018",NA
"FDL15","OUT046",NA
"FDM10","OUT018",NA
"NCL05","OUT017",NA
"DRK49","OUT010",NA
"NCE18","OUT027",NA
"FDG40","OUT049",NA
"DRI59","OUT045",NA
"FDK28","OUT035",NA
"NCD06","OUT019",NA
"FDO11","OUT019",NA
"FDK27","OUT046",NA
"FDT43","OUT027",NA
"FDD38","OUT018",NA
"FDA16","OUT049",NA
"FDL14","OUT027",NA
"NCM17","OUT049",NA
"FDD20","OUT045",NA
"FDA40","OUT045",NA
"FDL43","OUT045",NA
"FDV15","OUT045",NA
"FDE52","OUT046",NA
"NCL17","OUT010",NA
"NCJ31","OUT045",NA
"FDR60","OUT045",NA
"NCA18","OUT035",NA
"FDS21","OUT027",NA
"FDW09","OUT035",NA
"FDL26","OUT035",NA
"FDS47","OUT018",NA
"FDC39","OUT046",NA
"FDT51","OUT035",NA
"FDK40","OUT035",NA
"NCG19","OUT045",NA
"FDZ07","OUT046",NA
"FDF08","OUT027",NA
"FDO04","OUT013",NA
"FDK41","OUT018",NA
"FDP15","OUT049",NA
"NCD43","OUT018",NA
"NCP18","OUT013",NA
"FDZ51","OUT046",NA
"DRH13","OUT035",NA
"FDF38","OUT045",NA
"NCI43","OUT045",NA
"FDM38","OUT027",NA
"FDS03","OUT013",NA
"DRJ47","OUT017",NA
"FDT50","OUT010",NA
"FDV02","OUT046",NA
"NCG18","OUT017",NA
"FDW52","OUT046",NA
"FDS40","OUT035",NA
"FDN31","OUT017",NA
"FDA37","OUT045",NA
"FDA15","OUT046",NA
"FDL39","OUT046",NA
"FDJ53","OUT045",NA
"FDX22","OUT013",NA
"NCZ42","OUT045",NA
"FDD56","OUT027",NA
"FDD40","OUT017",NA
"FDS50","OUT013",NA
"NCN14","OUT013",NA
"FDT15","OUT013",NA
"NCS18","OUT027",NA
"NCO26","OUT010",NA
"FDF58","OUT018",NA
"NCB19","OUT013",NA
"FDH26","OUT017",NA
"DRB24","OUT027",NA
"FDA49","OUT018",NA
"FDB32","OUT045",NA
"FDI36","OUT017",NA
"NCA17","OUT010",NA
"FDH22","OUT013",NA
"NCM26","OUT018",NA
"FDT15","OUT027",NA
"FDB16","OUT018",NA
"NCP54","OUT027",NA
"FDJ36","OUT013",NA
"FDO28","OUT045",NA
"FDU09","OUT013",NA
"FDF29","OUT017",NA
"FDY08","OUT013",NA
"DRJ59","OUT018",NA
"FDT23","OUT027",NA
"FDU15","OUT018",NA
"FDT47","OUT013",NA
"FDI53","OUT019",NA
"FDR59","OUT018",NA
"FDD53","OUT035",NA
"FDY51","OUT017",NA
"FDT04","OUT049",NA
"FDU51","OUT049",NA
"FDG14","OUT035",NA
"NCU06","OUT045",NA
"DRG25","OUT046",NA
"DRH49","OUT035",NA
"FDN15","OUT035",NA
"FDL43","OUT018",NA
"NCT18","OUT049",NA
"NCB31","OUT013",NA
"FDK57","OUT035",NA
"FDY04","OUT019",NA
"NCP54","OUT046",NA
"FDF41","OUT013",NA
"FDM01","OUT045",NA
"FDW03","OUT045",NA
"FDF28","OUT045",NA
"FDY37","OUT017",NA
"FDQ03","OUT017",NA
"FDP51","OUT027",NA
"FDJ40","OUT017",NA
"FDC32","OUT049",NA
"DRI49","OUT027",NA
"NCW54","OUT017",NA
"FDF09","OUT017",NA
"FDP45","OUT018",NA
"DRJ23","OUT018",NA
"FDS59","OUT017",NA
"FDY08","OUT046",NA
"FDX16","OUT049",NA
"FDY16","OUT018",NA
"FDK32","OUT035",NA
"FDQ22","OUT013",NA
"NCC31","OUT018",NA
"FDG58","OUT049",NA
"DRF48","OUT013",NA
"DRH36","OUT049",NA
"NCR30","OUT035",NA
"FDB03","OUT019",NA
"FDZ28","OUT027",NA
"FDR35","OUT017",NA
"DRD15","OUT027",NA
"FDJ33","OUT019",NA
"FDA56","OUT010",NA
"FDP56","OUT046",NA
"NCT30","OUT046",NA
"FDK15","OUT017",NA
"FDH44","OUT018",NA
"FDV01","OUT013",NA
"DRG03","OUT017",NA
"FDG50","OUT027",NA
"FDR16","OUT010",NA
"FDZ60","OUT046",NA
"DRG03","OUT045",NA
"FDS56","OUT018",NA
"FDU33","OUT045",NA
"DRD27","OUT035",NA
"FDW22","OUT046",NA
"DRA24","OUT045",NA
"FDF38","OUT049",NA
"FDX48","OUT013",NA
"FDS58","OUT018",NA
"FDC32","OUT046",NA
"NCQ29","OUT045",NA
"DRK39","OUT018",NA
"NCS38","OUT017",NA
"DRO47","OUT013",NA
"DRG27","OUT027",NA
"FDC57","OUT027",NA
"FDS55","OUT046",NA
"NCJ06","OUT018",NA
"FDO01","OUT019",NA
"NCM55","OUT045",NA
"FDC52","OUT049",NA
"FDQ15","OUT045",NA
"NCT30","OUT027",NA
"NCR42","OUT027",NA
"FDD28","OUT035",NA
"FDQ34","OUT049",NA
"FDZ12","OUT027",NA
"DRE13","OUT019",NA
"NCN07","OUT019",NA
"FDM28","OUT035",NA
"FDI10","OUT017",NA
"FDQ25","OUT013",NA
"FDA38","OUT010",NA
"DRI13","OUT049",NA
"FDY20","OUT027",NA
"NCZ53","OUT035",NA
"NCM31","OUT013",NA
"DRB01","OUT017",NA
"DRF37","OUT046",NA
"NCF42","OUT049",NA
"FDF16","OUT018",NA
"FDB41","OUT013",NA
"FDR34","OUT013",NA
"FDR15","OUT018",NA
"NCV42","OUT019",NA
"FDW51","OUT035",NA
"FDU36","OUT017",NA
"FDX60","OUT049",NA
"FDY03","OUT035",NA
"FDW55","OUT045",NA
"FDT01","OUT010",NA
"FDG58","OUT013",NA
"FDK21","OUT017",NA
"NCS41","OUT019",NA
"FDS10","OUT045",NA
"NCT53","OUT046",NA
"FDJ28","OUT018",NA
"FDX44","OUT045",NA
"FDT20","OUT018",NA
"FDO44","OUT017",NA
"NCX17","OUT049",NA
"FDY01","OUT017",NA
"FDJ12","OUT027",NA
"DRK35","OUT018",NA
"FDD47","OUT019",NA
"NCM53","OUT035",NA
"FDO45","OUT013",NA
"NCM42","OUT010",NA
"FDE04","OUT046",NA
"NCI30","OUT027",NA
"FDZ19","OUT013",NA
"FDW57","OUT013",NA
"FDA25","OUT013",NA
"FDT22","OUT046",NA
"FDP51","OUT013",NA
"FDD48","OUT027",NA
"FDY39","OUT035",NA
"FDO48","OUT010",NA
"FDD23","OUT027",NA
"DRN35","OUT027",NA
"FDT01","OUT035",NA
"FDC20","OUT010",NA
"DRJ35","OUT035",NA
"FDB32","OUT046",NA
"FDL24","OUT046",NA
"NCV42","OUT035",NA
"FDZ46","OUT046",NA
"FDC15","OUT013",NA
"FDD08","OUT019",NA
"FDY50","OUT049",NA
"FDD36","OUT013",NA
"FDG57","OUT027",NA
"FDL21","OUT018",NA
"FDN16","OUT027",NA
"FDJ09","OUT027",NA
"FDS01","OUT010",NA
"FDV33","OUT017",NA
"DRE12","OUT017",NA
"FDR07","OUT013",NA
"FDP48","OUT010",NA
"NCB55","OUT035",NA
"FDQ08","OUT013",NA
"FDR34","OUT035",NA
"FDO33","OUT046",NA
"FDP13","OUT045",NA
"FDX12","OUT049",NA
"NCT06","OUT049",NA
"FDR16","OUT019",NA
"FDE36","OUT046",NA
"FDZ36","OUT049",NA
"FDV13","OUT045",NA
"NCZ17","OUT035",NA
"FDU56","OUT045",NA
"FDM09","OUT035",NA
"FDV02","OUT017",NA
"FDS34","OUT018",NA
"FDA11","OUT049",NA
"FDP09","OUT017",NA
"FDB29","OUT027",NA
"FDT19","OUT017",NA
"DRH15","OUT017",NA
"FDY38","OUT046",NA
"FDF14","OUT027",NA
"FDN48","OUT010",NA
"FDQ12","OUT013",NA
"NCJ43","OUT045",NA
"FDE17","OUT019",NA
"FDB05","OUT035",NA
"FDH10","OUT045",NA
"NCR06","OUT017",NA
"FDU32","OUT018",NA
"FDD56","OUT049",NA
"FDO36","OUT018",NA
"FDH16","OUT010",NA
"FDX10","OUT018",NA
"FDZ37","OUT017",NA
"FDU31","OUT010",NA
"DRC49","OUT049",NA
"FDL15","OUT045",NA
"FDN32","OUT019",NA
"DRH59","OUT027",NA
"NCU29","OUT049",NA
"FDR37","OUT019",NA
"FDS14","OUT018",NA
"FDU02","OUT027",NA
"FDJ08","OUT035",NA
"NCZ06","OUT045",NA
"FDO31","OUT049",NA
"FDH31","OUT018",NA
"FDS58","OUT017",NA
"NCA53","OUT027",NA
"FDF50","OUT046",NA
"NCW42","OUT049",NA
"NCQ17","OUT045",NA
"FDK51","OUT018",NA
"NCW41","OUT010",NA
"NCR29","OUT017",NA
"FDB08","OUT019",NA
"FDA40","OUT027",NA
"FDL14","OUT018",NA
"FDB47","OUT046",NA
"FDO03","OUT035",NA
"DRK13","OUT019",NA
"FDX13","OUT010",NA
"FDF52","OUT046",NA
"FDT11","OUT013",NA
"FDB08","OUT013",NA
"FDQ28","OUT018",NA
"FDD29","OUT045",NA
"NCQ29","OUT027",NA
"NCO02","OUT013",NA
"FDR56","OUT010",NA
"NCM54","OUT049",NA
"FDP51","OUT035",NA
"FDT38","OUT013",NA
"FDZ20","OUT018",NA
"FDJ53","OUT013",NA
"FDX13","OUT049",NA
"FDP58","OUT035",NA
"NCK31","OUT019",NA
"FDA35","OUT018",NA
"FDV37","OUT018",NA
"NCO07","OUT027",NA
"FDA20","OUT045",NA
"FDZ59","OUT035",NA
"NCY17","OUT017",NA
"FDQ28","OUT035",NA
"FDV35","OUT017",NA
"FDQ36","OUT013",NA
"FDD34","OUT018",NA
"FDK51","OUT045",NA
"FDV31","OUT035",NA
"FDR04","OUT035",NA
"FDR14","OUT049",NA
"DRC36","OUT010",NA
"FDE39","OUT019",NA
"FDP57","OUT049",NA
"FDE57","OUT046",NA
"NCN18","OUT046",NA
"NCQ05","OUT018",NA
"FDW47","OUT035",NA
"FDV46","OUT035",NA
"NCP29","OUT045",NA
"FDE09","OUT018",NA
"NCU06","OUT027",NA
"FDT19","OUT010",NA
"DRF15","OUT017",NA
"DRI51","OUT013",NA
"NCX54","OUT013",NA
"DRE01","OUT013",NA
"NCB07","OUT045",NA
"FDU50","OUT035",NA
"FDG40","OUT035",NA
"FDW10","OUT018",NA
"FDX51","OUT013",NA
"NCP17","OUT045",NA
"FDP21","OUT035",NA
"FDL04","OUT045",NA
"FDV23","OUT013",NA
"FDF24","OUT046",NA
"FDH56","OUT027",NA
"FDB51","OUT049",NA
"FDI58","OUT027",NA
"FDR20","OUT013",NA
"FDC51","OUT018",NA
"FDB16","OUT027",NA
"FDE40","OUT049",NA
"NCM17","OUT035",NA
"FDU56","OUT035",NA
"FDS32","OUT019",NA
"FDX02","OUT049",NA
"FDT39","OUT027",NA
"FDE35","OUT017",NA
"NCI42","OUT019",NA
"DRL23","OUT046",NA
"FDA10","OUT046",NA
"FDA11","OUT013",NA
"NCM06","OUT046",NA
"NCT05","OUT035",NA
"NCQ02","OUT010",NA
"NCY06","OUT049",NA
"FDY56","OUT035",NA
"FDL02","OUT035",NA
"NCI06","OUT035",NA
"FDQ14","OUT045",NA
"FDQ12","OUT017",NA
"FDP36","OUT046",NA
"FDK21","OUT027",NA
"FDO40","OUT045",NA
"NCK54","OUT019",NA
"FDY09","OUT018",NA
"NCW30","OUT049",NA
"NCC55","OUT027",NA
"FDE58","OUT018",NA
"FDR39","OUT013",NA
"FDU28","OUT049",NA
"FDH08","OUT017",NA
"FDG35","OUT045",NA
"FDG22","OUT049",NA
"FDC34","OUT035",NA
"FDP15","OUT018",NA
"FDK34","OUT010",NA
"FDU45","OUT035",NA
"FDQ04","OUT027",NA
"FDX22","OUT018",NA
"FDB45","OUT017",NA
"NCH43","OUT027",NA
"DRE60","OUT046",NA
"FDD17","OUT027",NA
"NCM54","OUT017",NA
"NCH55","OUT013",NA
"NCT06","OUT017",NA
"FDA48","OUT027",NA
"FDY58","OUT027",NA
"FDO25","OUT045",NA
"FDN50","OUT045",NA
"FDH35","OUT035",NA
"FDK09","OUT045",NA
"FDO16","OUT013",NA
"FDW11","OUT045",NA
"FDU47","OUT027",NA
"NCQ42","OUT010",NA
"FDK55","OUT027",NA
"FDN08","OUT049",NA
"FDT57","OUT045",NA
"FDJ12","OUT018",NA
"DRL59","OUT017",NA
"NCN53","OUT046",NA
"FDO51","OUT010",NA
"FDK56","OUT017",NA
"FDY12","OUT035",NA
"FDU15","OUT035",NA
"FDQ19","OUT046",NA
"DRF15","OUT045",NA
"DRE25","OUT019",NA
"FDK57","OUT018",NA
"FDD33","OUT010",NA
"FDR34","OUT027",NA
"FDU04","OUT045",NA
"FDE35","OUT019",NA
"NCD31","OUT035",NA
"FDJ56","OUT035",NA
"NCU53","OUT046",NA
"FDD39","OUT035",NA
"NCU17","OUT019",NA
"FDJ20","OUT046",NA
"NCW41","OUT018",NA
"FDL52","OUT035",NA
"FDS39","OUT035",NA
"DRJ47","OUT045",NA
"FDP13","OUT010",NA
"DRK39","OUT010",NA
"FDF28","OUT010",NA
"FDB09","OUT045",NA
"FDM51","OUT046",NA
"DRM49","OUT018",NA
"DRF23","OUT013",NA
"DRH01","OUT035",NA
"FDH12","OUT027",NA
"FDA28","OUT019",NA
"FDW37","OUT018",NA
"FDF02","OUT046",NA
"DRL37","OUT046",NA
"NCF43","OUT046",NA
"FDH08","OUT010",NA
"FDR34","OUT019",NA
"NCK19","OUT049",NA
"NCD55","OUT018",NA
"FDT27","OUT049",NA
"FDQ57","OUT045",NA
"FDA47","OUT035",NA
"DRG15","OUT027",NA
"FDE05","OUT018",NA
"FDN46","OUT046",NA
"FDX27","OUT027",NA
"FDT51","OUT045",NA
"FDU33","OUT013",NA
"FDJ16","OUT027",NA
"FDD20","OUT019",NA
"FDT36","OUT049",NA
"DRF15","OUT027",NA
"FDN52","OUT010",NA
"FDC22","OUT027",NA
"FDX15","OUT045",NA
"FDT13","OUT013",NA
"FDU04","OUT017",NA
"FDU31","OUT019",NA
"FDW59","OUT027",NA
"NCO29","OUT046",NA
"FDL15","OUT035",NA
"FDI41","OUT049",NA
"FDQ48","OUT049",NA
"DRI39","OUT013",NA
"FDI08","OUT013",NA
"FDC21","OUT049",NA
"FDF58","OUT035",NA
"FDS08","OUT010",NA
"FDE47","OUT045",NA
"NCP18","OUT019",NA
"NCR41","OUT013",NA
"FDA27","OUT013",NA
"FDA43","OUT035",NA
"FDA49","OUT045",NA
"NCE55","OUT018",NA
"DRM49","OUT027",NA
"FDF22","OUT027",NA
"FDQ15","OUT018",NA
"NCS54","OUT017",NA
"NCY05","OUT013",NA
"FDR45","OUT046",NA
"FDK57","OUT049",NA
"FDF41","OUT010",NA
"FDV21","OUT046",NA
"FDD51","OUT046",NA
"FDF33","OUT046",NA
"FDA38","OUT046",NA
"FDR56","OUT045",NA
"NCN41","OUT017",NA
"FDC60","OUT027",NA
"FDB47","OUT045",NA
"DRH01","OUT013",NA
"FDW08","OUT046",NA
"FDF38","OUT027",NA
"FDY32","OUT017",NA
"FDG34","OUT049",NA
"FDG47","OUT019",NA
"NCF18","OUT035",NA
"FDL39","OUT019",NA
"NCH55","OUT035",NA
"DRJ35","OUT049",NA
"FDS44","OUT035",NA
"DRE01","OUT018",NA
"FDY39","OUT013",NA
"FDY32","OUT018",NA
"FDR33","OUT027",NA
"NCP50","OUT049",NA
"FDZ47","OUT018",NA
"FDU57","OUT049",NA
"FDY44","OUT013",NA
"DRH59","OUT018",NA
"FDB03","OUT027",NA
"FDY46","OUT045",NA
"FDM39","OUT045",NA
"FDY36","OUT035",NA
"NCM55","OUT035",NA
"FDJ50","OUT010",NA
"DRL60","OUT013",NA
"NCJ54","OUT049",NA
"FDX59","OUT017",NA
"FDI07","OUT013",NA
"DRF51","OUT010",NA
"FDM14","OUT017",NA
"FDP21","OUT045",NA
"FDE40","OUT035",NA
"FDE05","OUT035",NA
"FDM13","OUT027",NA
"FDC34","OUT027",NA
"NCI55","OUT018",NA
"NCE43","OUT018",NA
"FDW58","OUT018",NA
"FDG60","OUT045",NA
"FDV31","OUT017",NA
"FDR47","OUT013",NA
"FDM60","OUT019",NA
"NCF06","OUT018",NA
"NCN26","OUT027",NA
"FDQ59","OUT049",NA
"FDF09","OUT046",NA
"NCS06","OUT017",NA
"FDT44","OUT046",NA
"FDI19","OUT017",NA
"FDT22","OUT017",NA
"NCF54","OUT027",NA
"DRG25","OUT045",NA
"FDB59","OUT017",NA
"FDQ37","OUT017",NA
"FDP56","OUT035",NA
"FDW44","OUT035",NA
"FDJ26","OUT010",NA
"FDU43","OUT018",NA
"FDW33","OUT045",NA
"NCX53","OUT027",NA
"FDN56","OUT010",NA
"DRF15","OUT049",NA
"FDO33","OUT017",NA
"FDZ39","OUT010",NA
"NCJ19","OUT017",NA
"FDU01","OUT035",NA
"FDT12","OUT035",NA
"NCM18","OUT018",NA
"FDP19","OUT017",NA
"NCR42","OUT049",NA
"FDN10","OUT046",NA
"FDG44","OUT017",NA
"FDQ10","OUT046",NA
"DRH13","OUT049",NA
"FDT52","OUT013",NA
"FDM56","OUT045",NA
"NCO43","OUT010",NA
"NCV29","OUT035",NA
"NCF06","OUT013",NA
"FDO50","OUT035",NA
"FDT59","OUT013",NA
"FDX40","OUT027",NA
"FDE50","OUT017",NA
"FDX51","OUT017",NA
"NCD30","OUT018",NA
"FDK15","OUT013",NA
"FDL12","OUT045",NA
"FDK46","OUT017",NA
"DRH49","OUT010",NA
"FDQ57","OUT046",NA
"FDY59","OUT017",NA
"FDO09","OUT018",NA
"NCG30","OUT035",NA
"FDM09","OUT017",NA
"NCN17","OUT027",NA
"NCS42","OUT013",NA
"FDD02","OUT019",NA
"FDE34","OUT013",NA
"FDU38","OUT045",NA
"FDB33","OUT046",NA
"NCJ29","OUT017",NA
"FDZ27","OUT035",NA
"FDI40","OUT013",NA
"FDG22","OUT013",NA
"FDT51","OUT017",NA
"FDF20","OUT018",NA
"FDV50","OUT035",NA
"FDT02","OUT049",NA
"DRC49","OUT017",NA
"FDF26","OUT049",NA
"FDV52","OUT035",NA
"FDX59","OUT049",NA
"FDV25","OUT035",NA
"FDW23","OUT027",NA
"FDE53","OUT018",NA
"FDA19","OUT017",NA
"FDH22","OUT046",NA
"NCO41","OUT013",NA
"FDX12","OUT017",NA
"FDF17","OUT013",NA
"FDS11","OUT045",NA
"FDR51","OUT035",NA
"FDT49","OUT010",NA
"FDC56","OUT013",NA
"FDR13","OUT027",NA
"FDQ60","OUT035",NA
"FDN38","OUT049",NA
"NCL29","OUT013",NA
"FDO13","OUT027",NA
"FDE26","OUT018",NA
"FDA31","OUT010",NA
"FDX14","OUT035",NA
"FDA34","OUT045",NA
"FDF26","OUT013",NA
"FDE38","OUT045",NA
"DRI11","OUT046",NA
"FDQ60","OUT027",NA
"FDL21","OUT027",NA
"DRC12","OUT027",NA
"FDC47","OUT046",NA
"FDE57","OUT045",NA
"FDT14","OUT045",NA
"NCZ53","OUT046",NA
"FDE28","OUT018",NA
"FDR19","OUT035",NA
"NCF54","OUT019",NA
"FDZ08","OUT046",NA
"NCJ05","OUT018",NA
"FDF59","OUT046",NA
"NCO05","OUT035",NA
"FDW24","OUT018",NA
"NCX42","OUT018",NA
"NCA53","OUT035",NA
"FDI45","OUT019",NA
"FDG46","OUT046",NA
"FDM20","OUT010",NA
"FDW11","OUT010",NA
"FDX08","OUT035",NA
"NCK17","OUT035",NA
"FDK32","OUT018",NA
"NCA42","OUT035",NA
"DRI01","OUT035",NA
"NCL55","OUT049",NA
"DRE25","OUT018",NA
"FDD14","OUT017",NA
"FDB10","OUT046",NA
"DRN11","OUT035",NA
"FDP38","OUT018",NA
"NCA30","OUT017",NA
"FDT15","OUT017",NA
"NCP55","OUT018",NA
"FDF12","OUT035",NA
"FDM21","OUT018",NA
"FDX56","OUT035",NA
"FDF10","OUT017",NA
"FDT32","OUT045",NA
"FDM51","OUT018",NA
"NCR50","OUT018",NA
"FDI19","OUT049",NA
"FDX21","OUT017",NA
"FDR31","OUT035",NA
"FDY02","OUT013",NA
"NCA29","OUT045",NA
"NCX17","OUT046",NA
"FDM12","OUT045",NA
"FDI53","OUT027",NA
"NCU30","OUT049",NA
"FDC56","OUT027",NA
"FDK27","OUT018",NA
"NCK18","OUT017",NA
"FDB52","OUT019",NA
"DRG25","OUT027",NA
"FDZ13","OUT049",NA
"FDB57","OUT019",NA
"FDR40","OUT046",NA
"NCO14","OUT019",NA
"NCN19","OUT045",NA
"FDQ28","OUT019",NA
"FDO13","OUT018",NA
"FDK48","OUT013",NA
"FDU07","OUT018",NA
"FDW20","OUT046",NA
"FDV12","OUT010",NA
"FDH24","OUT013",NA
"FDV59","OUT049",NA
"FDK57","OUT045",NA
"FDL16","OUT027",NA
"NCQ17","OUT046",NA
"FDJ15","OUT018",NA
"FDX24","OUT049",NA
"FDT47","OUT046",NA
"FDT10","OUT049",NA
"FDZ37","OUT018",NA
"FDW43","OUT027",NA
"DRN36","OUT017",NA
"FDJ14","OUT045",NA
"FDA32","OUT013",NA
"FDJ38","OUT019",NA
"FDQ57","OUT017",NA
"NCQ41","OUT019",NA
"FDG56","OUT049",NA
"DRC13","OUT027",NA
"FDV55","OUT035",NA
"FDQ49","OUT045",NA
"FDE29","OUT010",NA
"FDR03","OUT013",NA
"FDD45","OUT049",NA
"FDN38","OUT010",NA
"FDT56","OUT046",NA
"FDT48","OUT045",NA
"FDU03","OUT049",NA
"FDC56","OUT010",NA
"NCO43","OUT027",NA
"FDQ27","OUT017",NA
"FDR03","OUT046",NA
"DRH23","OUT010",NA
"FDG22","OUT045",NA
"NCJ42","OUT013",NA
"FDR24","OUT046",NA
"FDW60","OUT035",NA
"FDJ08","OUT013",NA
"DRL59","OUT018",NA
"FDG60","OUT010",NA
"FDW27","OUT017",NA
"FDX14","OUT018",NA
"FDC20","OUT013",NA
"NCS29","OUT018",NA
"FDJ56","OUT046",NA
"FDB20","OUT019",NA
"FDL28","OUT027",NA
"FDW01","OUT018",NA
"FDL03","OUT046",NA
"FDX22","OUT049",NA
"FDJ21","OUT035",NA
"FDR31","OUT045",NA
"FDG21","OUT035",NA
"FDS22","OUT027",NA
"FDK08","OUT035",NA
"FDE17","OUT018",NA
"NCN30","OUT017",NA
"FDT50","OUT046",NA
"NCX42","OUT049",NA
"FDJ12","OUT035",NA
"NCA18","OUT027",NA
"FDP23","OUT019",NA
"FDX12","OUT013",NA
"FDN40","OUT018",NA
"FDV48","OUT035",NA
"NCY54","OUT013",NA
"FDL16","OUT010",NA
"FDR45","OUT018",NA
"FDJ52","OUT046",NA
"DRG01","OUT017",NA
"FDP52","OUT013",NA
"FDU58","OUT017",NA
"FDL02","OUT045",NA
"FDG28","OUT013",NA
"FDA19","OUT035",NA
"FDW46","OUT027",NA
"NCD43","OUT049",NA
"DRG39","OUT013",NA
"NCF55","OUT049",NA
"FDJ07","OUT046",NA
"FDE08","OUT046",NA
"FDP56","OUT019",NA
"FDT45","OUT045",NA
"FDF17","OUT018",NA
"FDX44","OUT046",NA
"FDM28","OUT027",NA
"FDI36","OUT049",NA
"FDS07","OUT045",NA
"FDD36","OUT045",NA
"FDW11","OUT046",NA
"FDN40","OUT049",NA
"NCQ18","OUT049",NA
"NCQ54","OUT017",NA
"NCS42","OUT045",NA
"DRH39","OUT010",NA
"FDC09","OUT027",NA
"FDT08","OUT010",NA
"FDC08","OUT035",NA
"FDT20","OUT017",NA
"FDS35","OUT035",NA
"FDX58","OUT018",NA
"FDW58","OUT046",NA
"DRD27","OUT046",NA
"FDH32","OUT019",NA
"FDS26","OUT035",NA
"FDQ31","OUT046",NA
"FDP11","OUT018",NA
"FDD58","OUT017",NA
"FDM33","OUT045",NA
"FDZ16","OUT049",NA
"NCS29","OUT010",NA
"NCM18","OUT019",NA
"FDP11","OUT049",NA
"NCC42","OUT017",NA
"DRM23","OUT046",NA
"NCN55","OUT027",NA
"FDK46","OUT013",NA
"FDR01","OUT046",NA
"NCA05","OUT045",NA
"NCP43","OUT017",NA
"FDR12","OUT010",NA
"FDQ01","OUT013",NA
"FDM13","OUT046",NA
"FDQ19","OUT017",NA
"FDK56","OUT019",NA
"NCX06","OUT010",NA
"FDO56","OUT027",NA
"FDU45","OUT045",NA
"FDI16","OUT019",NA
"FDL32","OUT046",NA
"FDA07","OUT046",NA
"FDA14","OUT045",NA
"FDV46","OUT027",NA
"NCO07","OUT035",NA
"NCP41","OUT046",NA
"FDY60","OUT018",NA
"FDN38","OUT017",NA
"FDO15","OUT046",NA
"FDT60","OUT013",NA
"FDA55","OUT035",NA
"FDE02","OUT010",NA
"DRJ39","OUT049",NA
"FDV34","OUT035",NA
"FDS20","OUT027",NA
"FDF02","OUT027",NA
"FDW40","OUT017",NA
"NCB43","OUT046",NA
"FDR58","OUT017",NA
"DRJ59","OUT035",NA
"NCD30","OUT017",NA
"FDE14","OUT017",NA
"FDC28","OUT018",NA
"FDU16","OUT018",NA
"NCD19","OUT035",NA
"FDU21","OUT046",NA
"FDV59","OUT027",NA
"FDU03","OUT045",NA
"FDC33","OUT010",NA
"NCR42","OUT035",NA
"DRH59","OUT035",NA
"NCM31","OUT035",NA
"FDS50","OUT035",NA
"FDP39","OUT046",NA
"FDQ55","OUT013",NA
"FDV36","OUT019",NA
"FDI05","OUT027",NA
"FDS45","OUT027",NA
"FDA39","OUT045",NA
"FDC37","OUT010",NA
"FDJ60","OUT027",NA
"DRQ35","OUT046",NA
"NCJ06","OUT046",NA
"NCY42","OUT018",NA
"DRM37","OUT049",NA
"FDR14","OUT045",NA
"FDE51","OUT049",NA
"FDT33","OUT017",NA
"FDR08","OUT013",NA
"FDE36","OUT010",NA
"FDL22","OUT019",NA
"FDR44","OUT013",NA
"FDI56","OUT019",NA
"FDE47","OUT010",NA
"FDV27","OUT010",NA
"FDV10","OUT049",NA
"FDC40","OUT045",NA
